"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018- 09- 21","1,198.60","1,209.70","1,212.10","1,194.20","0.39K","-0.85%"
"2018- 09- 20","1,208.90","1,206.40","1,210.50","1,203.50","0.09K","0.23%"
"2018- 09- 19","1,206.10","1,201.50","1,208.50","1,201.00","0.12K","0.45%"
"2018- 09- 18","1,200.70","1,202.80","1,204.50","1,199.60","0.04K","-0.22%"
"2018- 09- 17","1,203.40","1,198.50","1,207.00","1,195.60","0.05K","0.40%"
"2018- 09- 14","1,198.60","1,204.20","1,209.70","1,195.80","0.12K","-0.57%"
"2018- 09- 13","1,205.50","1,208.90","1,213.30","1,202.50","0.09K","-0.22%"
"2018- 09- 12","1,208.20","1,198.90","1,210.90","1,197.90","0.04K","0.73%"
"2018- 09- 11","1,199.50","1,198.70","1,198.90","1,190.10","0.02K","0.19%"
"2018- 09- 10","1,197.20","1,198.80","1,199.60","1,194.70","0.02K","-0.05%"
"2018- 09- 07","1,197.80","1,202.80","1,203.70","1,200.00","0.01K","-0.32%"
"2018- 09- 06","1,201.70","1,207.60","1,209.00","1,203.50","0.01K","0.24%"
"2018- 09- 05","1,198.80","1,196.10","1,200.70","1,196.10","0.02K","0.18%"
"2018- 09- 04","1,196.60","1,201.80","1,204.80","1,193.30","0.06K","-0.21%"
"2018- 09- 03","1,199.10","1,207.00","1,207.60","1,195.10","421.47K","-0.42%"
"2018- 08- 31","1,204.10","1,202.70","1,205.30","1,202.70","265.11K","0.13%"
"2018- 08- 30","1,202.50","1,202.50","1,202.50","1,202.50","288.07K","-0.33%"
"2018- 08- 29","1,206.50","1,202.20","1,208.80","1,202.20","10.90K","-0.25%"
"2018- 08- 28","1,209.50","1,212.80","1,215.70","1,201.00","20.28K","-0.14%"
"2018- 08- 27","1,211.20","1,209.20","1,214.00","1,204.50","3.45K","0.22%"
"2018- 08- 24","1,208.60","1,187.10","1,210.40","1,184.90","9.56K","1.62%"
"2018- 08- 23","1,189.30","1,198.00","1,198.70","1,185.60","5.42K","-0.78%"
"2018- 08- 22","1,198.70","1,198.70","1,203.70","1,194.80","7.57K","0.27%"
"2018- 08- 21","1,195.50","1,193.00","1,199.80","1,190.00","4.52K","0.45%"
"2018- 08- 20","1,190.20","1,185.50","1,193.20","1,185.30","4.20K","0.88%"
"2018- 08- 17","1,179.80","1,177.50","1,187.60","1,174.20","4.99K","0.02%"
"2018- 08- 16","1,179.60","1,178.10","1,184.50","1,162.70","6.75K","-0.08%"
"2018- 08- 15","1,180.50","1,196.80","1,197.20","1,175.60","8.79K","-1.30%"
"2018- 08- 14","1,196.10","1,196.30","1,200.90","1,194.50","3.75K","0.16%"
"2018- 08- 13","1,194.20","1,214.20","1,216.50","1,193.90","8.35K","-1.65%"
"2018- 08- 10","1,214.20","1,215.30","1,220.00","1,208.50","6.70K","-0.07%"
"2018- 08- 09","1,215.10","1,217.10","1,220.50","1,213.60","3.16K","-0.09%"
"2018- 08- 08","1,216.20","1,214.10","1,218.50","1,208.80","6.97K","0.24%"
"2018- 08- 07","1,213.30","1,211.00","1,219.20","1,210.90","3.62K","0.06%"
"2018- 08- 06","1,212.60","1,216.70","1,220.70","1,209.50","3.28K","-0.45%"
"2018- 08- 03","1,218.10","1,211.80","1,223.30","1,207.40","5.35K","0.26%"
"2018- 08- 02","1,214.90","1,219.40","1,224.90","1,210.30","6.90K","-0.61%"
"2018- 08- 01","1,222.40","1,228.20","1,228.70","1,219.10","6.48K","-0.50%"
